u,v,key,osmid,highway,name,oneway,ref,reversed,length,lanes,maxspeed,tunnel,width
31253600,7092267898,0,23705307,primary_link,新大橋通り,True,50,False,41.987798424376855,,,,
31253600,31253943,0,25824161,primary,新大橋通り,True,50,False,28.281910431849727,,,,
31253776,9510994556,0,879780891,primary,海岸通り,True,316,False,28.036136149471332,4,50,,
31253943,7092267898,0,894991906,primary,海岸通り,True,316,False,21.861682563041196,4,50,,
31253982,31253943,0,894991907,primary,海岸通り,True,316,False,15.890500209179857,4,50,,
31254273,1130958910,0,97685642,unclassified,木挽町通り,True,,False,109.75305812949203,,,,
31254273,7094898112,0,879780891,primary,海岸通り,True,316,False,43.788285463979165,4,50,,
31254274,31254273,0,879780891,primary,海岸通り,True,316,False,34.295761539154924,4,50,,
31254276,2172319420,0,879780891,primary,海岸通り,True,316,False,51.23242172757454,4,50,,
31254284,31254276,0,271720648,primary,海岸通り,True,316,False,19.07086639908431,4,50,,
31254284,31254298,0,"[271720704, 4848928]",primary,昭和通り,True,316,False,134.37419577016118,4,,,
31254284,1130958305,0,667962677,tertiary,御門通り,True,,False,36.62659499114356,,,,
31254286,11583657069,0,"[1245989825, 548908719, 92223192, 1245989821, 4848926]",primary,昭和通り,True,316,False,762.9334169951072,,,yes,
31254298,835996344,0,4848928,primary,昭和通り,True,316,False,59.13769353352375,,,,
31254303,835996358,0,271720622,primary,昭和通り,True,316,False,70.42653831973533,,,,
31254305,31254306,0,4848928,primary,昭和通り,True,316,False,12.540697311112083,,,,
31254305,1130958441,0,539237086,primary,晴海通り,True,304,False,42.52034816142754,3,,,
31254306,31254310,0,539237084,primary,晴海通り,True,304,False,22.829373775963507,3,,,
31254306,31254307,0,4848928,primary,昭和通り,True,316,False,131.48457490056552,,,,
31254307,31254311,0,342481201,unclassified,松屋通り,True,,False,23.07940585593812,,,,
31254307,598438985,0,4848928,primary,昭和通り,True,316,False,132.91115238349425,,,,
31254309,31254305,0,539237086,primary,晴海通り,True,304,False,23.168473561188513,3,,,
31254309,1070638565,0,580847357,primary,昭和通り,True,316,False,122.32909237938507,,,,
