osmid,y,x,street_count,highway,junction,longitude,latitude
31253600,35.663609,139.7635869,3,,,139.7635869,35.663609
31253776,35.6646214,139.7634712,3,,,139.7634712,35.6646214
31253943,35.6637084,139.7632998,4,traffic_signals,,139.7632998,35.6637084
31253982,35.6638299,139.7633924,4,traffic_signals,,139.7633924,35.6638299
31254273,35.6654293,139.7633251,3,,,139.7633251,35.6654293
31254274,35.6657192,139.7631955,3,,,139.7631955,35.6657192
31254276,35.6664991,139.7628015,4,traffic_signals,,139.7628015,35.6664991
31254284,35.6666197,139.7626529,5,traffic_signals,,139.7626529,35.6666197
31254286,35.6677347,139.7647667,3,,,139.7647667,35.6677347
31254298,35.6671851,139.7639483,3,traffic_signals,,139.7639483,35.6671851
31254303,35.6670744,139.7641205,3,traffic_signals,,139.7641205,35.6670744
31254305,35.6696354,139.7669344,4,traffic_signals,,139.7669344,35.6696354
31254306,35.6697255,139.7670179,4,traffic_signals,,139.7670179,35.6697255
31254307,35.6706767,139.7678823,4,traffic_signals,,139.7678823,35.6706767
31254309,35.6694861,139.7671133,4,traffic_signals,,139.7671133,35.6694861
31254310,35.6695695,139.7671822,4,traffic_signals,,139.7671822,35.6695695
31254311,35.6705424,139.7680771,4,traffic_signals,,139.7680771,35.6705424
31254313,35.6671899,139.7623229,3,,,139.7623229,35.6671899
31254325,35.66851,139.7622349,4,,yes,139.7622349,35.66851
31254332,35.6685462,139.7621899,4,,yes,139.7621899,35.6685462
31254333,35.6694409,139.7631036,4,,yes,139.7631036,35.6694409
31254351,35.6696652,139.7697399,3,,,139.7697399,35.6696652
31255167,35.6715131,139.7689546,4,traffic_signals,,139.7689546,35.6715131
31255183,35.6740641,139.7700922,4,,,139.7700922,35.6740641
31255186,35.6736674,139.7715876,4,traffic_signals,,139.7715876,35.6736674
254367451,35.6704702,139.7661214,3,,,139.7661214,35.6704702
258071906,35.6712011,139.7649681,4,,yes,139.7649681,35.6712011
258071907,35.6712882,139.7650565,4,,yes,139.7650565,35.6712882
258071908,35.6747814,139.7687537,4,,yes,139.7687537,35.6747814
304153029,35.672018,139.7638769,4,traffic_signals,,139.7638769,35.672018
304153030,35.6686238,139.7603126,3,,,139.7603126,35.6686238
304153031,35.6690963,139.7596375,2,traffic_signals,,139.7596375,35.6690963
304153034,35.6702206,139.7619866,4,,,139.7619866,35.6702206
304153036,35.6729325,139.7668881,4,,yes,139.7668881,35.6729325
387769189,35.6710007,139.7608877,4,,,139.7608877,35.6710007
387769191,35.6701194,139.7599582,3,,,139.7599582,35.6701194
473462991,35.6711155,139.762918,4,,,139.762918,35.6711155
473462992,35.6703246,139.7640459,4,,yes,139.7640459,35.6703246
473462993,35.6702856,139.7641027,4,,yes,139.7641027,35.6702856
473470166,35.6746345,139.7666356,4,,,139.7666356,35.6746345
473470182,35.6721016,139.7639598,4,traffic_signals,,139.7639598,35.6721016
473470198,35.6752359,139.7672485,3,,,139.7672485,35.6752359
473470385,35.6713659,139.7625609,4,,,139.7625609,35.6713659
473470386,35.6704702,139.7616091,4,,,139.7616091,35.6704702
473470387,35.6688783,139.759953,4,,,139.759953,35.6688783
473470388,35.6682522,139.7592915,3,,,139.7592915,35.6682522
473471533,35.6722088,139.7636015,3,,,139.7636015,35.6722088
473471752,35.6718817,139.7618293,4,,,139.7618293,35.6718817
473474084,35.6717858,139.764397,3,,,139.764397,35.6717858
473474085,35.6716928,139.7643137,3,,,139.7643137,35.6716928
473474086,35.6708462,139.7633034,4,,,139.7633034,35.6708462
473474087,35.6679378,139.7602354,3,,,139.7602354,35.6679378
475008839,35.6677986,139.7606628,3,,,139.7606628,35.6677986
475008840,35.6706166,139.7636402,4,,,139.7636402,35.6706166
475010342,35.6703807,139.7660409,3,,,139.7660409,35.6703807
475010618,35.671398,139.7603033,3,,,139.7603033,35.671398
499185613,35.6743414,139.7695383,3,,,139.7695383,35.6743414
499185615,35.6747596,139.7688353,4,,yes,139.7688353,35.6747596
499185617,35.6751535,139.7675105,3,,,139.7675105,35.6751535
499185632,35.6746859,139.7705248,3,,,139.7705248,35.6746859
499185790,35.6676018,139.761266,4,,yes,139.761266,35.6676018
510591085,35.6743665,139.7670192,4,,,139.7670192,35.6743665
510591086,35.674133,139.7673563,4,,,139.7673563,35.674133
559359752,35.6680362,139.7650145,3,,,139.7650145,35.6680362
559359760,35.6694588,139.7652703,4,traffic_signals,,139.7652703,35.6694588
559359763,35.6686491,139.7642258,4,,,139.7642258,35.6686491
559979729,35.6684314,139.7645142,4,,,139.7645142,35.6684314
559979730,35.669221,139.7655843,4,,,139.7655843,35.669221
565362073,35.6680919,139.7597795,4,traffic_signals,,139.7597795,35.6680919
565362074,35.6698016,139.7603876,2,traffic_signals,,139.7603876,35.6698016
565362075,35.6695826,139.7607027,4,,,139.7607027,35.6695826
565362076,35.6693511,139.761052,4,,,139.761052,35.6693511
565362077,35.66907,139.7614316,4,,,139.7614316,35.66907
565362079,35.668833,139.7617757,4,,,139.7617757,35.668833
565362081,35.6702965,139.7596803,3,,,139.7596803,35.6702965
565362085,35.6712204,139.7605735,3,,,139.7605735,35.6712204
565362087,35.6699506,139.7623684,4,,,139.7623684,35.6699506
565362093,35.6719571,139.7613478,3,,,139.7613478,35.6719571
565362096,35.6697146,139.7627092,4,,,139.7627092,35.6697146
565362098,35.6715284,139.7645315,3,,,139.7645315,35.6715284
565362099,35.6716311,139.7646035,3,,,139.7646035,35.6716311
565362101,35.6725794,139.7651447,4,,,139.7651447,35.6725794
565362103,35.67235,139.7654704,4,,,139.7654704,35.67235
565362105,35.6720607,139.76588,4,,yes,139.76588,35.6720607
565362110,35.6728511,139.7647511,4,,,139.7647511,35.6728511
565362114,35.673762,139.7657014,4,,,139.7657014,35.673762
565362116,35.6734884,139.7660882,4,,,139.7660882,35.6734884
565362118,35.6732562,139.7664271,4,,,139.7664271,35.6732562
565362121,35.6729725,139.7668254,4,,yes,139.7668254,35.6729725
573250483,35.6727294,139.7628218,4,,,139.7628218,35.6727294
598438978,35.6716552,139.7664669,4,,,139.7664669,35.6716552
598438981,35.6726065,139.7673395,4,,,139.7673395,35.6726065
598438985,35.6716361,139.7687599,4,traffic_signals,,139.7687599,35.6716361
598438986,35.6721406,139.7680158,4,,,139.7680158,35.6721406
689881123,35.6720259,139.7659316,4,,yes,139.7659316,35.6720259
835996327,35.6667727,139.7644832,4,,,139.7644832,35.6667727
835996333,35.6663225,139.7639283,4,,,139.7639283,35.6663225
835996338,35.6708826,139.7711585,3,,,139.7711585,35.6708826
835996339,35.6685324,139.7683805,4,traffic_signals,,139.7683805,35.6685324
835996343,35.6671375,139.7642033,3,traffic_signals,,139.7642033,35.6671375
835996344,35.6675429,139.7644321,3,,,139.7644321,35.6675429
835996352,35.6661787,139.7653873,4,traffic_signals,,139.7653873,35.6661787
835996357,35.6714007,139.7715631,4,traffic_signals,,139.7715631,35.6714007
835996358,35.6667346,139.7634626,4,,,139.7634626,35.6667346
835996360,35.6661244,139.7653149,4,traffic_signals,,139.7653149,35.6661244
835996368,35.6674501,139.7646037,3,,,139.7646037,35.6674501
835996371,35.6676283,139.7672855,4,traffic_signals,,139.7672855,35.6676283
878518740,35.6713251,139.7704955,4,,,139.7704955,35.6713251
878518757,35.6719575,139.77058,4,,,139.77058,35.6719575
878518780,35.6717393,139.7709132,3,,,139.7709132,35.6717393
878518784,35.6715431,139.770169,4,,,139.770169,35.6715431
951246999,35.6711566,139.7650292,4,,yes,139.7650292,35.6711566
951247002,35.66948,139.7695107,4,traffic_signals,,139.7695107,35.66948
951247020,35.6712423,139.7651153,4,,yes,139.7651153,35.6712423
951247022,35.6712526,139.7693324,3,,,139.7693324,35.6712526
951247034,35.6710298,139.769651,3,,,139.769651,35.6710298
951247035,35.6703701,139.7705957,4,traffic_signals,,139.7705957,35.6703701
951247036,35.6708549,139.7656287,3,,,139.7656287,35.6708549
951247044,35.6711382,139.7672162,4,,,139.7672162,35.6711382
1070638135,35.6724657,139.7698143,3,,,139.7698143,35.6724657
1070638168,35.673823,139.7708222,4,,yes,139.7708222,35.673823
1070638231,35.673615,139.7705864,3,,,139.7705864,35.673615
1070638257,35.6721752,139.7702278,4,,,139.7702278,35.6721752
1070638350,35.6738472,139.7707411,4,,yes,139.7707411,35.6738472
1070638366,35.6737805,139.7709796,4,,yes,139.7709796,35.6737805
1070638476,35.6737997,139.7708982,4,,yes,139.7708982,35.6737997
1070638565,35.6686931,139.7661765,4,traffic_signals,,139.7661765,35.6686931
1070638575,35.6688269,139.766018,4,traffic_signals,,139.766018,35.6688269
1070638617,35.6725895,139.7696097,3,,,139.7696097,35.6725895
1105125075,35.6745584,139.7692171,3,,,139.7692171,35.6745584
1105125140,35.6705739,139.7662319,3,,,139.7662319,35.6705739
1105125170,35.670917,139.7675576,4,,,139.7675576,35.670917
1105125191,35.6694045,139.7591657,4,traffic_signals,,139.7591657,35.6694045
1105125227,35.6722931,139.7677838,4,,,139.7677838,35.6722931
1105125307,35.6701298,139.7665353,3,,,139.7665353,35.6701298
1105125419,35.6726051,139.7719144,4,,,139.7719144,35.6726051
