u,v,key,osmid,highway,oneway,reversed,length,bridge,name,ref,lanes,maxspeed,tunnel,width,est_width,access
1281068967,1281085627,0,"[112770714, 112774883, 112773863]",unclassified,False,"[False, True]",475.43389141295233,yes,,,,,,,,
1281068967,1281088757,0,112774557,unclassified,False,False,308.61727402141463,,,,,,,,,
1281068967,1281093936,0,"[112774661, 1237811836, 1237811837, 112773452]",unclassified,False,"[False, True]",527.8767876387935,,,,,,,,,
1281068968,1281110312,0,1237206241,primary,False,False,63.38788144320779,,大谷狼煙飯田線,28,,,,,,
1281068968,1281147637,0,112771667,residential,False,False,145.78792993141622,,,,,,,,,
1281068968,1281092912,0,1237206241,primary,False,True,307.3822077965505,,大谷狼煙飯田線,28,,,,,,
1281069014,1281110573,0,112773728,trunk,False,False,54.98721406379315,,国道249号,249,2,50,,,,
1281069014,1281098286,0,112770827,residential,False,True,333.0720933734141,,,,,,,,,
1281069014,1281093784,0,112773728,trunk,False,True,310.9463448491712,,国道249号,249,2,50,,,,
1281069019,1281071086,0,112770486,primary,False,False,115.68539319281824,,大谷狼煙飯田線,28,2,40,,,,
1281069019,1281084766,0,112770486,primary,False,True,204.39707545137918,,大谷狼煙飯田線,28,2,40,,,,
1281069019,1281096747,0,112771916,unclassified,False,False,228.22884836484707,,,,,,,,,
1281069027,1281080203,0,112772281,residential,False,False,230.51537069539293,,,,,,,,,
1281069027,11492286233,0,"[112773680, 112772281]",residential,False,"[False, True]",553.9478342923352,,,,,,,,,
1281069027,11490966828,0,"[1237188139, 1237187427]",residential,False,"[False, True]",276.4960042661024,,,,,,,,,
1281069066,1281072954,0,"[112774615, 1251402307, 1251402308, 112771167]",unclassified,False,True,1088.9899648614721,yes,,,,,,,,
1281069066,1281089528,0,"[737900698, 737900699, 112771620, 112774188]",unclassified,False,False,770.1813831559848,yes,,,,,,,,
1281069066,1281084776,0,112774647,unclassified,False,True,239.82631421517743,,,,,,,,,
1281069085,1281069364,0,112772718,unclassified,False,True,172.24392002561018,,,,,,,,,
1281069085,1281083104,0,"[112771960, 112773227, 112774019]",unclassified,False,True,157.53176039144228,yes,,,,,,,,
1281069085,1281107854,0,"[112773358, 112773938, 738884253, 738884254]",unclassified,False,True,558.964994025019,yes,,,,,,,,
1281069119,11491214301,0,112770494,unclassified,False,True,122.26831399951047,,,,,,,,,
1281069119,1281083768,0,112771322,secondary,False,False,113.07938423100337,,高屋出田線,285,2,,,,,
1281069119,1281116334,0,112771322,secondary,False,True,204.3878016772572,,高屋出田線,285,2,,,,,
1281069150,5265257573,0,112771325,unclassified,False,False,32.06402166546128,,,,,,,,,
1281069150,1281110882,0,464726853,primary,False,False,105.19686139966501,,大谷狼煙飯田線,28,2,,,,,
1281069150,1281134212,0,464726853,primary,False,True,183.3261840966937,,大谷狼煙飯田線,28,2,,,,,
1281069227,1281072564,0,112773378,tertiary,False,True,278.3907196260769,,,,2,,,,,
1281069227,1281137251,0,"[112772232, 112773378, 112773068]",tertiary,False,False,434.72684243092124,yes,,,2,,,,,
1281069227,1281142922,0,"[112772033, 112774106, 112771387, 112773871]",unclassified,False,"[False, True]",253.5228897398394,yes,,,,,,,,
1281069227,1281138236,0,"[1237302720, 112771301, 1237302719]",unclassified,False,True,226.66682617005753,yes,,,,,,,,
1281069231,4598138973,0,112771571,unclassified,False,False,44.67425280694832,,,,,,,,,
1281069231,1281073294,0,112773405,residential,False,False,49.11736481897621,,,,,,,,,
1281069231,1281100602,0,112770837,unclassified,False,True,168.4715104215891,,,,,,,,,
1281069231,1281136835,0,112773550,unclassified,False,True,81.38844622474662,,,,,,,,,
1281069262,4598361974,0,112773468,trunk,False,False,10.86978882172719,,国道249号,249,2,50,,,,
