u,v,key,osmid,highway,name,oneway,ref,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,width,access
1281068967,1281085627,0,"[112770714, 112774883, 112773863]",unclassified,,False,,"[False, True]",475.43389141295233,"LINESTRING (137.323359 37.4973056, 137.3269476 37.4983213)",,,yes,,,
1281068967,1281088757,0,112774557,unclassified,,False,,False,308.61727402141463,"LINESTRING (137.323359 37.4973056, 137.3217077 37.4958355)",,,,,,
1281068967,1281093936,0,"[112774661, 1237811836, 1237811837, 112773452]",unclassified,,False,,"[False, True]",527.8767876387935,"LINESTRING (137.323359 37.4973056, 137.3268726 37.4992762)",,,,,,
1281068968,1281110312,0,1237206241,primary,大谷狼煙飯田線,False,28,False,63.38788144320779,"LINESTRING (137.3439648 37.4430004, 137.3432568 37.4430952)",,,,,,
1281068968,1281147637,0,112771667,residential,,False,,False,145.78792993141622,"LINESTRING (137.3439648 37.4430004, 137.344877 37.444068)",,,,,,
1281068968,1281092912,0,1237206241,primary,大谷狼煙飯田線,False,28,True,307.3822077965505,"LINESTRING (137.3439648 37.4430004, 137.3473817 37.4432361)",,,,,,
1281069014,1281110573,0,112773728,trunk,国道249号,False,249,False,54.98721406379315,"LINESTRING (137.2306908 37.458164, 137.23128 37.4580034)",2.0,50,,,,
1281069014,1281098286,0,112770827,residential,,False,,True,333.0720933734141,"LINESTRING (137.2306908 37.458164, 137.2276692 37.4597602)",,,,,,
1281069014,1281093784,0,112773728,trunk,国道249号,False,249,True,310.9463448491712,"LINESTRING (137.2306908 37.458164, 137.2273954 37.4591525)",2.0,50,,,,
1281069019,1281071086,0,112770486,primary,大谷狼煙飯田線,False,28,False,115.68539319281824,"LINESTRING (137.310494 37.5243911, 137.3116516 37.5248637)",2.0,40,,,,
1281069019,1281084766,0,112770486,primary,大谷狼煙飯田線,False,28,True,204.3970754513792,"LINESTRING (137.310494 37.5243911, 137.3082164 37.5240507)",2.0,40,,,,
1281069019,1281096747,0,112771916,unclassified,,False,,False,228.22884836484707,"LINESTRING (137.310494 37.5243911, 137.3081403 37.5242792)",,,,,,
1281069027,1281080203,0,112772281,residential,,False,,False,230.51537069539293,"LINESTRING (137.3050394 37.4771441, 137.3063012 37.4755474)",,,,,,
1281069027,11492286233,0,"[112773680, 112772281]",residential,,False,,"[False, True]",553.9478342923352,"LINESTRING (137.3050394 37.4771441, 137.3027728 37.4812443)",,,,,,
1281069027,11490966828,0,"[1237188139, 1237187427]",residential,,False,,"[False, True]",276.4960042661024,"LINESTRING (137.3050394 37.4771441, 137.3063692 37.4755967)",,,,,,
1281069066,1281072954,0,"[112774615, 1251402307, 1251402308, 112771167]",unclassified,,False,,True,1088.989964861472,"LINESTRING (137.220192 37.411811, 137.226175 37.412708)",,,yes,,,
1281069066,1281089528,0,"[737900698, 737900699, 112771620, 112774188]",unclassified,,False,,False,770.1813831559848,"LINESTRING (137.220192 37.411811, 137.2280046 37.4109416)",,,yes,,,
1281069066,1281084776,0,112774647,unclassified,,False,,True,239.82631421517743,"LINESTRING (137.220192 37.411811, 137.217519 37.411573)",,,,,,
1281069085,1281069364,0,112772718,unclassified,,False,,True,172.24392002561018,"LINESTRING (137.233604 37.4562104, 137.2340933 37.4576785)",,,,,,
1281069085,1281083104,0,"[112771960, 112773227, 112774019]",unclassified,,False,,True,157.53176039144228,"LINESTRING (137.233604 37.4562104, 137.2325007 37.4550989)",,,yes,,,
1281069085,1281107854,0,"[112773358, 112773938, 738884253, 738884254]",unclassified,,False,,True,558.964994025019,"LINESTRING (137.233604 37.4562104, 137.2399019 37.4557547)",,,yes,,,
1281069119,11491214301,0,112770494,unclassified,,False,,True,122.26831399951048,"LINESTRING (137.258297 37.4555152, 137.2591171 37.4563792)",,,,,,
1281069119,1281083768,0,112771322,secondary,高屋出田線,False,285,False,113.07938423100336,"LINESTRING (137.258297 37.4555152, 137.2590479 37.454692)",2.0,,,,,
1281069119,1281116334,0,112771322,secondary,高屋出田線,False,285,True,204.3878016772572,"LINESTRING (137.258297 37.4555152, 137.2569619 37.4570105)",2.0,,,,,
1281069150,5265257573,0,112771325,unclassified,,False,,False,32.06402166546128,"LINESTRING (137.3238625 37.4408704, 137.3238905 37.4405829)",,,,,,
1281069150,1281110882,0,464726853,primary,大谷狼煙飯田線,False,28,False,105.196861399665,"LINESTRING (137.3238625 37.4408704, 137.322671 37.4408631)",2.0,,,,,
1281069150,1281134212,0,464726853,primary,大谷狼煙飯田線,False,28,True,183.3261840966937,"LINESTRING (137.3238625 37.4408704, 137.3259389 37.4408853)",2.0,,,,,
1281069227,1281072564,0,112773378,tertiary,,False,,True,278.3907196260769,"LINESTRING (137.2270005 37.3973543, 137.2247677 37.3955875)",2.0,,,,,
1281069227,1281137251,0,"[112772232, 112773378, 112773068]",tertiary,,False,,False,434.7268424309213,"LINESTRING (137.2270005 37.3973543, 137.2302529 37.4002009)",2.0,,yes,,,
1281069227,1281142922,0,"[112772033, 112774106, 112771387, 112773871]",unclassified,,False,,"[False, True]",253.5228897398394,"LINESTRING (137.2270005 37.3973543, 137.2279711 37.3992761)",,,yes,,,
1281069227,1281138236,0,"[1237302720, 112771301, 1237302719]",unclassified,,False,,True,226.66682617005756,"LINESTRING (137.2270005 37.3973543, 137.226914 37.395317)",,,yes,,,
1281069231,4598138973,0,112771571,unclassified,,False,,False,44.67425280694832,"LINESTRING (137.2841982 37.4474754, 137.2846935 37.4475578)",,,,,,
1281069231,1281073294,0,112773405,residential,,False,,False,49.11736481897621,"LINESTRING (137.2841982 37.4474754, 137.283667 37.447344)",,,,,,
1281069231,1281100602,0,112770837,unclassified,,False,,True,168.4715104215891,"LINESTRING (137.2841982 37.4474754, 137.284102 37.445978)",,,,,,
1281069231,1281136835,0,112773550,unclassified,,False,,True,81.38844622474662,"LINESTRING (137.2841982 37.4474754, 137.2841337 37.4482049)",,,,,,
1281069262,4598361974,0,112773468,trunk,国道249号,False,249,False,10.86978882172719,"LINESTRING (137.2559093 37.4322674, 137.2558042 37.4322165)",2.0,50,,,,
1281069262,1281082669,0,112772100,residential,,False,,False,114.97425672914842,"LINESTRING (137.2559093 37.4322674, 137.2570256 37.4318498)",,,,,,
1281069262,1281135223,0,112773468,trunk,国道249号,False,249,True,106.62207061148663,"LINESTRING (137.2559093 37.4322674, 137.2567361 37.4329598)",2.0,50,,,,
1281069274,1281080861,0,"[112770397, 112771783]",unclassified,,False,,False,1412.207762043863,"LINESTRING (137.1495558 37.4612132, 137.146343 37.466344)",,,,,,
1281069274,1281139504,0,"[112774255, 112772567]",unclassified,,False,,True,729.2648878428569,"LINESTRING (137.1495558 37.4612132, 137.1566853 37.4626463)",,,,,,
1281069274,1281093646,0,112774532,unclassified,,False,,False,430.5718599657935,"LINESTRING (137.1495558 37.4612132, 137.1530783 37.4600362)",,,,,,
1281069295,1281111230,0,112770801,unclassified,,False,,False,21.94731195763604,"LINESTRING (137.2881013 37.4454066, 137.2881584 37.4455987)",,,,,,
1281069295,4598038926,0,112770801,unclassified,,False,,True,23.673790400744917,"LINESTRING (137.2881013 37.4454066, 137.2881389 37.4451958)",,,,,,
1281069295,1281118082,0,464721082,residential,,False,,False,74.00647044590849,"LINESTRING (137.2881013 37.4454066, 137.2885932 37.4457139)",,,,,,
1281069303,1281096337,0,"[544702434, 112772460, 112774789, 112772343]",primary,大谷狼煙飯田線,False,28,False,609.9439829485895,"LINESTRING (137.3562941 37.4642363, 137.3560312 37.4591537)",2.0,,yes,,,
1281069303,1281144539,0,112772460,primary,大谷狼煙飯田線,False,28,True,499.59382532410655,"LINESTRING (137.3562941 37.4642363, 137.3516699 37.4664896)",2.0,,,,,
1281069303,1281101909,0,1180973589,residential,,False,,True,94.60778249778342,"LINESTRING (137.3562941 37.4642363, 137.3561416 37.465074)",,,,,,
1281069311,11492114117,0,112773366,unclassified,,False,,False,54.78424322746199,"LINESTRING (137.2417914 37.404005, 137.2411712 37.404009)",,,,,,
1281069311,1281147018,0,"[112771304, 112774951]",unclassified,,False,,"[False, True]",107.2386380908234,"LINESTRING (137.2417914 37.404005, 137.2430028 37.4039416)",,,,,,
1281069311,1281127880,0,112773008,tertiary,国道249号旧道,False,,False,56.92602186333816,"LINESTRING (137.2417914 37.404005, 137.2418148 37.4034934)",2.0,40,,,,
1281069311,1281138423,0,112773008,tertiary,国道249号旧道,False,,True,167.47122083497163,"LINESTRING (137.2417914 37.404005, 137.2419145 37.4054974)",2.0,40,,,,
1281069334,11493810017,0,112773748,unclassified,,False,,False,220.5016337905389,"LINESTRING (137.3233771 37.4605562, 137.3242275 37.4589525)",,,,,,
