osmid,latitude,longitude,street_count,junction,highway,longitude,latitude
1281068967,37.4973056,137.323359,3,,,137.323359,37.4973056
1281068968,37.4430004,137.3439648,3,,,137.3439648,37.4430004
1281069014,37.458164,137.2306908,3,,,137.2306908,37.458164
1281069019,37.5243911,137.310494,3,,,137.310494,37.5243911
1281069027,37.4771441,137.3050394,3,,,137.3050394,37.4771441
1281069066,37.411811,137.220192,3,,,137.220192,37.411811
1281069085,37.4562104,137.233604,3,,,137.233604,37.4562104
1281069119,37.4555152,137.258297,3,,,137.258297,37.4555152
1281069150,37.4408704,137.3238625,3,,,137.3238625,37.4408704
1281069227,37.3973543,137.2270005,4,,,137.2270005,37.3973543
1281069231,37.4474754,137.2841982,4,,,137.2841982,37.4474754
1281069262,37.4322674,137.2559093,3,,,137.2559093,37.4322674
1281069274,37.4612132,137.1495558,3,,,137.1495558,37.4612132
1281069295,37.4454066,137.2881013,3,,,137.2881013,37.4454066
1281069303,37.4642363,137.3562941,3,,,137.3562941,37.4642363
1281069311,37.404005,137.2417914,4,,,137.2417914,37.404005
1281069334,37.4605562,137.3233771,3,,,137.3233771,37.4605562
1281069364,37.4576785,137.2340933,3,,,137.2340933,37.4576785
1281069369,37.5084778,137.2790745,3,,,137.2790745,37.5084778
1281069499,37.480877,137.3374988,3,,,137.3374988,37.480877
1281069635,37.4976272,137.2679213,4,,,137.2679213,37.4976272
1281069680,37.4569365,137.2045261,3,,,137.2045261,37.4569365
1281069706,37.4369033,137.2607075,4,yes,,137.2607075,37.4369033
1281069725,37.4421633,137.2855586,3,,,137.2855586,37.4421633
1281069755,37.4017978,137.2397687,3,,,137.2397687,37.4017978
1281069767,37.3898951,137.1400712,3,,,137.1400712,37.3898951
1281069792,37.364227,137.1709767,3,,,137.1709767,37.364227
1281069855,37.451247,137.1377806,3,,,137.1377806,37.451247
1281069863,37.4612792,137.2192047,3,,,137.2192047,37.4612792
1281069889,37.4490955,137.2893655,4,,,137.2893655,37.4490955
1281069919,37.495329,137.2224813,1,,,137.2224813,37.495329
1281069976,37.4740305,137.3059343,3,,,137.3059343,37.4740305
1281070017,37.4414945,137.2767722,3,,,137.2767722,37.4414945
1281070188,37.4502426,137.3190661,4,,,137.3190661,37.4502426
1281070192,37.4592905,137.2502252,4,,,137.2502252,37.4592905
1281070290,37.4441783,137.2806736,1,,,137.2806736,37.4441783
1281070433,37.4209406,137.2396669,3,,,137.2396669,37.4209406
1281070463,37.443521,137.2982203,3,,,137.2982203,37.443521
1281070491,37.4623058,137.1582039,3,,,137.1582039,37.4623058
1281070506,37.3614715,137.165652,3,,,137.165652,37.3614715
1281070551,37.502034,137.349669,3,,,137.349669,37.502034
1281070571,37.4026969,137.2396778,3,,,137.2396778,37.4026969
1281070598,37.4492981,137.325593,3,,,137.325593,37.4492981
1281070629,37.3868964,137.215412,3,,,137.215412,37.3868964
1281070650,37.4751363,137.1582619,3,,,137.1582619,37.4751363
1281070662,37.488024,137.195811,1,,,137.195811,37.488024
1281070673,37.4955946,137.1708136,1,,,137.1708136,37.4955946
1281070675,37.4103232,137.2394568,3,,,137.2394568,37.4103232
1281070695,37.4592757,137.2928001,3,,,137.2928001,37.4592757
1281070696,37.4978488,137.1830168,3,,,137.1830168,37.4978488
1281070734,37.5137818,137.3346834,3,,,137.3346834,37.5137818
1281070749,37.4001829,137.2438131,3,,,137.2438131,37.4001829
1281070833,37.4666115,137.3213278,3,,,137.3213278,37.4666115
1281070911,37.4622967,137.1598681,3,,,137.1598681,37.4622967
1281070968,37.4548631,137.1769546,3,,,137.1769546,37.4548631
1281070979,37.486021,137.111076,3,,,137.111076,37.486021
1281070992,37.4422768,137.3018152,3,,,137.3018152,37.4422768
1281071015,37.4521352,137.2963444,3,,,137.2963444,37.4521352
1281071028,37.5005674,137.1746984,3,,,137.1746984,37.5005674
1281071040,37.3759383,137.2144039,3,,,137.2144039,37.3759383
1281071042,37.4391759,137.2703139,3,,,137.2703139,37.4391759
1281071064,37.4228878,137.2478677,3,,,137.2478677,37.4228878
1281071076,37.4347328,137.2582714,4,,,137.2582714,37.4347328
1281071086,37.5248637,137.3116516,3,,,137.3116516,37.5248637
1281071100,37.4666374,137.3492152,3,,,137.3492152,37.4666374
1281071151,37.4583758,137.2398508,1,,,137.2398508,37.4583758
1281071264,37.460395,137.2764314,3,,,137.2764314,37.460395
1281071350,37.4323737,137.2600205,3,,,137.2600205,37.4323737
1281071379,37.4175977,137.238532,3,,,137.238532,37.4175977
1281071422,37.484422,137.336268,1,,,137.336268,37.484422
1281071457,37.4731746,137.283335,3,,,137.283335,37.4731746
1281071478,37.4011597,137.2325892,3,,,137.2325892,37.4011597
1281071496,37.43876,137.2683517,4,,,137.2683517,37.43876
1281071528,37.3934149,137.1840626,3,,,137.1840626,37.3934149
1281071539,37.401718,137.2384549,4,,,137.2384549,37.401718
1281071563,37.4474893,137.2890248,3,,,137.2890248,37.4474893
1281071586,37.4638695,137.3190004,3,,,137.3190004,37.4638695
1281071632,37.499372,137.1824537,3,,,137.1824537,37.499372
1281071670,37.4338499,137.2601123,3,,,137.2601123,37.4338499
1281071820,37.4125873,137.2369994,3,,,137.2369994,37.4125873
1281071830,37.3932238,137.2200281,3,,,137.2200281,37.3932238
1281071850,37.475963,137.292544,1,,,137.292544,37.475963
1281071874,37.470921,137.09385,3,,,137.09385,37.470921
1281071888,37.3980734,137.2421527,3,,,137.2421527,37.3980734
1281071904,37.3935535,137.1803217,3,,,137.1803217,37.3935535
1281071912,37.3852906,137.1481272,3,,,137.1481272,37.3852906
1281071938,37.5257419,137.3222137,3,,,137.3222137,37.5257419
1281072038,37.5244214,137.2802493,3,,,137.2802493,37.5244214
1281072040,37.4694576,137.2429746,3,,,137.2429746,37.4694576
1281072293,37.4537258,137.2354462,3,,,137.2354462,37.4537258
1281072325,37.4577388,137.237044,3,,,137.237044,37.4577388
1281072391,37.4410712,137.2707708,3,,,137.2707708,37.4410712
1281072545,37.4792718,137.3382496,3,,,137.3382496,37.4792718
1281072564,37.3955875,137.2247677,4,,,137.2247677,37.3955875
1281072592,37.4141296,137.2461655,3,,,137.2461655,37.4141296
1281072608,37.4746788,137.3097129,1,,,137.3097129,37.4746788
1281072613,37.4686666,137.3506735,4,,,137.3506735,37.4686666
1281072753,37.4384703,137.261192,3,,,137.261192,37.4384703
1281072772,37.3967457,137.2369936,1,,,137.2369936,37.3967457
1281072879,37.4335686,137.252292,3,,,137.252292,37.4335686
1281072883,37.494762,137.258727,1,,,137.258727,37.494762
1281072920,37.4536425,137.2564742,1,,,137.2564742,37.4536425
1281072954,37.412708,137.226175,3,,,137.226175,37.412708
1281073057,37.4658064,137.3320488,3,,,137.3320488,37.4658064
1281073188,37.4625229,137.2174953,3,,,137.2174953,37.4625229
1281073196,37.4445301,137.2786447,4,,,137.2786447,37.4445301
1281073213,37.455794,137.2508254,3,,,137.2508254,37.455794
1281073217,37.4683295,137.3483693,3,,,137.3483693,37.4683295
1281073279,37.4400516,137.3249755,3,,,137.3249755,37.4400516
1281073294,37.447344,137.283667,3,,,137.283667,37.447344
1281073308,37.495021,137.2556078,3,,,137.2556078,37.495021
1281073333,37.512808,137.252826,3,,,137.252826,37.512808
1281073417,37.4503956,137.319663,3,,,137.319663,37.4503956
1281073418,37.4681974,137.3104652,3,,,137.3104652,37.4681974
1281073422,37.467086,137.3099258,3,,,137.3099258,37.467086
1281073554,37.445528,137.246948,1,,,137.246948,37.445528
1281073678,37.3946374,137.2393001,3,,,137.2393001,37.3946374
1281073679,37.4743006,137.283873,3,,,137.283873,37.4743006
1281073698,37.458037,137.3250851,3,,,137.3250851,37.458037
1281073723,37.4227982,137.2450033,3,,,137.2450033,37.4227982
1281073873,37.4948775,137.1463807,1,,,137.1463807,37.4948775
1281073877,37.464272,137.21063,1,,,137.21063,37.464272
1281074058,37.3979191,137.2438573,3,,,137.2438573,37.3979191
1281074079,37.4571844,137.2396589,3,,,137.2396589,37.4571844
1281074111,37.4433516,137.3162704,3,,,137.3162704,37.4433516
1281074154,37.4851227,137.1148255,1,,,137.1148255,37.4851227
1281074227,37.4422586,137.3124452,3,,,137.3124452,37.4422586
1281074237,37.4783672,137.1615018,3,,,137.1615018,37.4783672
1281074290,37.4423207,137.2811458,3,,,137.2811458,37.4423207
1281074299,37.4592139,137.2824173,3,,,137.2824173,37.4592139
1281074342,37.4732995,137.1401629,3,,,137.1401629,37.4732995
1281074355,37.443613,137.3176255,3,,,137.3176255,37.443613
1281074393,37.5019788,137.2809116,3,,,137.2809116,37.5019788
1281074468,37.483449,137.3198312,3,,,137.3198312,37.483449
1281074576,37.4403846,137.3187325,3,,,137.3187325,37.4403846
1281074580,37.498768,137.173369,3,,,137.173369,37.498768
1281074642,37.4415751,137.3061349,3,,,137.3061349,37.4415751
1281074748,37.399783,137.2401328,3,,,137.2401328,37.399783
1281074750,37.462598,137.279633,3,,,137.279633,37.462598
1281074759,37.4867015,137.3146364,1,,,137.3146364,37.4867015
1281074760,37.4975863,137.1550469,3,,,137.1550469,37.4975863
1281074765,37.470531,137.090508,3,,,137.090508,37.470531
1281074852,37.448353,137.2841107,3,,,137.2841107,37.448353
1281074876,37.5281655,137.2693213,3,,,137.2693213,37.5281655
1281074880,37.4603158,137.2113754,3,,,137.2113754,37.4603158
1281074917,37.364195,137.1721035,3,,,137.1721035,37.364195
1281074925,37.4792653,137.3354839,3,,,137.3354839,37.4792653
1281074941,37.5053443,137.2025822,1,,,137.2025822,37.5053443
1281074950,37.5221896,137.3020487,3,,,137.3020487,37.5221896
1281074987,37.4648709,137.3235609,3,,,137.3235609,37.4648709
1281075091,37.5071904,137.2144278,3,,,137.2144278,37.5071904
1281075093,37.468969,137.155535,3,,,137.155535,37.468969
1281075126,37.4919608,137.1701773,3,,,137.1701773,37.4919608
1281075134,37.4335679,137.2572708,3,,,137.2572708,37.4335679
